10,0,28.925,4.96,0,29,27
10,0,93.507,7.68,0,46,45
10,0,302.386,4.75,0,72,71
50,0,103.505,1.39,0,103,100
50,0,275.120,2.61,42,217,210
50,0,783.177,1.83,194,401,391
100,0,344.750,0.42,0,345,334
100,0,757.009,0.95,75,650,628
100,0,1888.946,0.76,611,1157,1129
72,-1,-1,-1,-1,-1,-1
500,0,990.758,0.14,0,991,952
500,0,1882.289,0.38,65,1805,1751
500,0,4320.469,0.33,1490,2727,2663
278,-1,-1,-1,-1,-1,-1
